Expanded Device Code (Hex),Description,Company Name,
0304,NEWTHERMOX,Ametek,
0A01,TRI20,Brooks Instrument,
0A02,38XXVA,Brooks Instrument,
0A03,99XXOVAL,Brooks Instrument,
0A04,QUANTIM,Brooks Instrument,
0D14,3400 Series Gas USM,Daniel Industries,
0D15,3410 Series Gas USM,Daniel Industries,
0D28,3800 Series Liquid USM,Daniel Industries,
0D29,3810 Series Liquid USM,Daniel Industries,
0E01,HT,Delta,
1103,FMU860,Endress+Hauser,
1104,FMU861,Endress+Hauser,
1105,FMU862,Endress+Hauser,
1106,FMR130/Micropilot,Endress+Hauser,
1107,CERABS /Cerabar S,Endress+Hauser,
1108,FEC12,Endress+Hauser,
1109,DELTBS/Deltabar S,Endress+Hauser,
110A,FMU231/FMU13x,Endress+Hauser,
110B,DELTAPS/ Deltapilot,Endress+Hauser,
110C,FMR23x,Endress+Hauser,
110D,FMP200,Endress+Hauser,
110E,Cerabar M,Endress+Hauser,
110F,FMR2xx,Endress+Hauser,
1110,FMR53x,Endress+Hauser,
1111,FMU4x,Endress+Hauser,
1112,FMP4x,Endress+Hauser,
1113,FMG60,Endress+Hauser,
1114,NRF590,Endress+Hauser,
1117,DeltabarS,Endress+Hauser,
1118,CerabarS,Endress+Hauser,
1119,Cerabar M 5x,Endress+Hauser,
111A,DeltapilotS,Endress+Hauser,
111B,FMU9x,Endress+Hauser,
111D,FMI5x,Endress+Hauser,
111E,FMR25x,Endress+Hauser,
111F,FMR54x,Endress+Hauser,
1120,FMP4x I,Endress+Hauser,
1121,Deltabar M 5x,Endress+Hauser,
1122,Levelflex FMP5x,Endress+Hauser,
1123,Deltapilot M 5x,Endress+Hauser,
1124,Waterpilot 2x,Endress+Hauser,
1127,Deltabar FMD71x,Endress+Hauser,
1128,Micropilot 5x,Endress+Hauser,
1132,PROMAG33,Endress+Hauser,
1133,PROWIRL70,Endress+Hauser,
1134,PROMASS63,Endress+Hauser,
1135,PROMAG39,Endress+Hauser,
1136,PROMAG35S,Endress+Hauser,
1137,PROWIRL77,Endress+Hauser,
1138,Prowirl 200,Endress+Hauser,
1139,PROMASS60,Endress+Hauser,
113A,Promag 100,Endress+Hauser,
1140,PROSON F,Endress+Hauser,
1141,PROMAG50,Endress+Hauser,
1142,PROMAG53,Endress+Hauser,
1143,PROMAG51,Endress+Hauser,
1144,PROMAG55,Endress+Hauser,
1145,PROMAG10,Endress+Hauser,
1146,PROMAG23,Endress+Hauser,
1148,PROMAG 200,Endress+Hauser,
1149,Cubemass DCI,Endress+Hauser,
114A,Promass 100,Endress+Hauser,
1150,PROMASS80,Endress+Hauser,
1151,PROMASS83,Endress+Hauser,
1152,PROMASS84,Endress+Hauser,
1153,PROMASS40,Endress+Hauser,
1154,Promass 200,Endress+Hauser,
1155,CNGmass DCI,Endress+Hauser,
1156,PROWIRL72,Endress+Hauser,
1157,PROWIRL73,Endress+Hauser,
1158,P_FLOW90,Endress+Hauser,
1159,P_FLOW93,Endress+Hauser,
115A,Prosonic Flow B 200,Endress+Hauser,
1161,P_FLOW92,Endress+Hauser,
1162,P_FLOW91,Endress+Hauser,
1164,AT70,Endress+Hauser,
1165,T-MASS65,Endress+Hauser,
1166,T-MASS A/B 150,Endress+Hauser,
1167,Promag 400,Endress+Hauser,
1168,t-mass L T 150,Endress+Hauser,
1178,TMD832,Endress+Hauser,
1179,TMD833,Endress+Hauser,
117C,TMD842,Endress+Hauser,
118C,MyPro pH,Endress+Hauser,
118D,MyPro LFC,Endress+Hauser,
118E,MyPro LFI,Endress+Hauser,
119C,Liquiline CM44x,Endress+Hauser,
119D,Liquistation CSFxx,Endress+Hauser,
11B5,NMT530,Endress+Hauser,
11B6,NMS530,Endress+Hauser,
11C8,TMT182,Endress+Hauser,
11C9,TMT122,Endress+Hauser,
11CA,TMT162,Endress+Hauser,
11CB,TMT142,Endress+Hauser,
11CC,TMT82,Endress+Hauser,
11EE,Crocus P,Endress+Hauser,
11EF,Crocus D,Endress+Hauser,
11F0,SWA70,Endress+Hauser,
11F1,SWG70,Endress+Hauser,
11F2,SWG70 EtherNet/IP,Endress+Hauser,
1207,50XM2000,ABB,
1208,50XE4000,ABB,
120E,50VT1000,ABB,
120F,50VM1000,ABB,
1219,50XM1000,ABB,
121A,50SM1000,ABB,
1242,PTH,ABB,
1250,TB82PH pH,ABB,
1251,TB82PH ORP,ABB,
1252,TB82PH pION,ABB,
1253,TB82PH IConc,ABB,
1254,TB82EC COND,ABB,
1255,TB82EC CONC,ABB,
1256,TB82TE COND,ABB,
1257,TB82TE CONC,ABB,
1258,TB82TC COND,ABB,
1259,TB82TC CONC,ABB,
1300,Position Xmitter,Fisher Controls,
1301,DT4000,Fisher Controls,
1303,DVC6000,Fisher Controls,
1304,DLC3010,Fisher Controls,
1305,DVC2000,Fisher Controls,
1307,DVC6000 AC,Fisher Controls,
1308,4320 Position Monitor,Fisher Controls,
1309,DVC6200,Fisher Controls,
130A,DVC6200 SIS,Fisher Controls,
130B,DVC6000 HW2,Fisher Controls,
130C,DVC6200 AC,Fisher Controls,
13F5,DVC2000 AC,Fisher Controls,
1401,MAG2,Foxboro,
1402,IASPT Premium 2,Foxboro,
1403,876 CR,Foxboro,
1404,876 EC,Foxboro,
1405,876 pH,Foxboro,
1407,RTT30,Foxboro,
1408,ECS Pressure,Foxboro,
1409,CFT51,Foxboro,
140A,RTT80,Foxboro,
140B,876pH-S,Foxboro,
141B,IMT31A,Foxboro,
141C,IMT33A,Foxboro,
141D,IMV31,Foxboro,
141E,Vortex 84,Foxboro,
141F,Vortex 84C,Foxboro,
1428,IMT96,Foxboro,
1429,IMT25,Foxboro,
142E,I/A Pressure,Foxboro,
142F,IMV 25/30,Foxboro,
1430,875PH,Foxboro,
1433,ITVORTEX,Foxboro,
1434,CFT50,Foxboro,
1435,875CR,Foxboro,
1436,875EC,Foxboro,
1438,RTT15,Foxboro,
1440,I/A Pressure S,Foxboro,
1441,RTT15-H,Foxboro,
147D,CFT 30 x,Foxboro,
1501,FCX-A/C,Fuji,
1502,FCX-A2/C2,Fuji,
1520,Oxygen Analyzer / ZKM,Fuji,
1581,FRC,Fuji,
1603,TEU 471,ABB,
1604,TEU 421,ABB,
1605,TEU 211,ABB,
1606,TS 11,ABB,
1608,TH 02,ABB,
1640,TZID,ABB,
1641,TZIDC,ABB,
1685,AS800,ABB,
1687,Contrac,ABB,
1701,ST3000,Honeywell,
1702,STT25T,Honeywell,
1703,HWFLOW/Mage W Plus,Honeywell,
1704,STT25H,Honeywell,
1705,HERCULINE,Honeywell,
1706,SmartCET,Honeywell,
1707,STT17H,Honeywell,
1708,ST2500,Honeywell,
1709,STT25S,Honeywell,
170A,SmartCET CET5500M,Honeywell,
170B,STT25H6,Honeywell,
170C,STT25T6,Honeywell,
1720,ST 800,Honeywell,
1721,ST 700,Honeywell,
1722,STT850,Honeywell,
1724,SMV800,Honeywell,
1726,SLG700,Honeywell,
1729,XNX,Honeywell,
172A,STT750,Honeywell,
1740,STT650,Honeywell,
1750,TWM9000,Honeywell,
1751,TWC9000,Honeywell,
1754,TWV9000,Honeywell,
1755,TWM1000,Honeywell,
1756,SmartLine Radar,Honeywell,
1757,SmartLine TDR,Honeywell,
1758,SmartLine RM76,Honeywell,
1759,SmartLine RM77,Honeywell,
1760,PL3700,Honeywell,
1908,4050,Thermo Measure Tech,
1909,3680 Dens,Thermo Measure Tech,
190A,4790,Thermo Measure Tech,
190B,Accu-Pulse PRO,Thermo Measure Tech,
190F,3280 Steam qual,Thermo Measure Tech,
1A01,KSX,ABB,
1A02,600T,ABB,
1A03,2600T-268,ABB,
1A04,2600T-262/264,ABB,
1A05,2600T-364,ABB,
1A06,2600T-266 PdP Wireless,ABB,
1A07,2600T 266 Pressure,ABB,
1A08,KST,ABB,
1A09,TH01,ABB,
1A0A,658T,ABB,
1A0B,TTX300 series,ABB,
1A0C,652/653S,ABB,
1A0D,TTX200,ABB,
1A0F,665,ABB,
1A10,Deltapi KT,ABB,
1A18,MagMaster,ABB,
1A1A,FVS4000,ABB,
1A1B,VA Master FAM540,ABB,
1A1C,FMT500iG,ABB,
1A1D,FSM4000,ABB,
1A1E,FEX300,ABB,
1A1F,FEX100,ABB,
1A21,2600PH,ABB,
1A23,TB82PH-Combined,ABB,
1A24,TB82EC-Combined,ABB,
1A25,TB82TE-Combined,ABB,
1A26,TB82TC-Combined,ABB,
1A27,FMT300/350/400,ABB,
1A29,UFTE-PA,ABB,
1A2A,UFTE-FF,ABB,
1A30,APA592PH,ABB,
1A31,ACA592EC,ABB,
1A32,ACA592TE,ABB,
1A33,ACA592TC,ABB,
1A34,AZ200/300,ABB,
1A63,CMxx ControlMaster,ABB,
1A89,"263/265, 2000T",ABB,
1A8A,2600T 267/269/2010TC,ABB,
1A8C,261,ABB,
1A8D,EDP300,ABB,
1A8E,2600T-266 MV,ABB,
1A8F,2600T-266 PdP 1-5V,ABB,
1A99,FieldKey NHU200-WL,ABB,
1A9B,TSP3xx EnergyHarvester,ABB,
1A9C,LST400 Ultrasonic Level,ABB,
1A9D,LMT Magnetostrictve Level,ABB,
